LEI_Code,NSA,Period,Item,Label,Amount,n_quarters
0SK1ILSPWNVBNQWU0W18,DE,201512,1620141,TIER 1 CAPITAL RATIO (transitional period),0.1638236427,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620142,TOTAL CAPITAL RATIO (transitional period),0.1899540153,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620143,COMMON EQUITY TIER 1 CAPITAL (fully loaded),3231.5809328,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620146,COMMON EQUITY TIER 1 CAPITAL RATIO (fully loaded),0.1638236427,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620201,Risk exposure amount for credit exposures,18494.398569,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620202,Risk exposure amount for credit exposures - of which: for securitisation and re-securitisations in the banking book,57.49562571,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620203,Risk exposure amount for credit exposures - of which: for contributions to the default fund of a CCP,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620204,Risk exposure amount for credit exposures - of which: for Other credit risk,18436.902943,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620205,"Risk exposure amount for position, foreign exchange and commodities (Market risk)",0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620206,Risk exposure amount for Market risk -   of which: Risk exposure amount for securitisation and re-securitisations in the trading book,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620207,Risk exposure amount for Credit Valuation Adjustment,600.11891363,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620208,Risk exposure amount for operational risk,631.45661813,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620209,Other risk exposure amounts,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620210,Total Risk exposure amount,19725.9741,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620301,Interest income,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620302,Interest income - Of which debt securities income,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620303,Interest income - Of which loans and advances income,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620304,Interest expenses,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620305,Interest expenses - (Of which deposits expenses),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620306,Interest expenses - (Of which debt securities issued expenses),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620307,Expenses on share capital repayable on demand,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620308,Dividend income,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620309,Net Fee and commission income,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620310,Gains or (-) losses on derecognition of financial assets and liabilities not measured at fair value through profit or loss_ and of non financial assets_ net,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620311,Gains or (-) losses on financial assets and liabilities held for trading_ net,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620312,Gains or (-) losses on financial assets and liabilities designated at fair value through profit or loss_ net,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620313,Gains or (-) losses from hedge accounting_ net,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620314,Exchange differences [gain or (-) loss]_ net,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620315,Net other operating income /(expenses),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620316,TOTAL OPERATING INCOME_ NET,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620317,(Administrative expenses),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620318,(Depreciation),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620319,(Provisions or (-) reversal of provisions),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620320,(Provisions or (-) reversal of provisions) - (Commitments and guarantees given),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620321,(Provisions or (-) reversal of provisions) - (Other provisions),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620322,(Other provisions) - Of which pending legal issues and tax litigation,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620323,(Other provisions) - Of which restructuring,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620324,(Impairment or (-) reversal of impairment on financial assets not measured at fair value through profit or loss),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620325,(Impairment or (-) reversal of impairment on financial assets not measured at fair value through profit or loss) - (Loans and receivables),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620326,(Impairment or (-) reversal of impairment on financial assets not measured at fair value through profit or loss) - (Held to maturity investments_ AFS assets and financial assets measured at cost),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620327,(Impairment or (-) reversal of impairment of investments in subsidaries_ joint ventures and associates and on non-financial assets),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620328,(Impairment or (-) reversal of impairment of investments in subsidaries_ joint ventures and associates and on non-financial assets) - (of which Goodwill),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620329,Negative goodwill recognised in profit or loss,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620330,Share of the profit or (-) loss of investments in subsidaries_ joint ventures and associates,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620331,Profit or (-) loss from non-current assets and disposal groups classified as held for sale not qualifying as discontinued operations,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620332,PROFIT OR (-) LOSS BEFORE TAX FROM CONTINUING OPERATIONS,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620333,PROFIT OR (-) LOSS AFTER TAX FROM CONTINUING OPERATIONS,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620334,Profit  or (-) loss after tax from discontinued operations,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620335,PROFIT OR (-) LOSS FOR THE YEAR,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620336,PROFIT OR (-) LOSS FOR THE YEAR - Of which attributable to owners of the parent,0,4
0SK1ILSPWNVBNQWU0W18,DE,201606,1620101,OWN FUNDS,3855.1857647,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620102,COMMON EQUITY TIER 1 CAPITAL (net of deductions and after applying transitional adjustments),3385.7957881,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620103,Capital instruments eligible as CET1 Capital (including share premium and net own capital instruments),250,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620104,Retained earnings,2514.4267897,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620105,Accumulated other comprehensive income,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620106,Other Reserves,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620107,Funds for general banking risk,630,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620108,Minority interest given recognition in CET1 capital,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620109,Adjustments to CET1 due to prudential filters,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620110,(-) Intangible assets (including Goodwill),-8.63100155,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620111,(-) DTAs that rely on future profitability and do not arise from temporary differences net of associated DTLs,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620112,(-) IRB shortfall of credit risk adjustments to expected losses,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620113,(-) Defined benefit pension fund assets,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620114,(-) Reciprocal cross holdings in CET1 Capital,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620115,(-) Excess deduction from AT1 items over AT1 Capital,-3.45240062,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620116,(-) Deductions related to assets which can alternatively be subject to a 1.250% risk weight,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620117,(-) Deductions related to assets which can alternatively be subject to a 1.250% risk weight - Of which: from securitisation positions (-),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620118,(-) Holdings of CET1 capital instruments of financial sector entities where the institiution does not have a significant investment,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620119,(-) Deductible DTAs that rely on future profitability and arise from temporary differences,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620120,(-) Holdings of CET1 capital instruments of financial sector entities where the institiution has a significant investment,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620121,(-) Amount exceding the 17.65% threshold,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620122,(-) Additional deductions of CET1 Capital due to Article 3 CRR,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620123,CET1 capital elements or deductions - other,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620124,Transitional adjustments,3.45240062,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620125,Transitional adjustments due to grandfathered CET1 Capital instruments (+/-),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620126,Transitional adjustments due to additional minority interests (+/-),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620127,Other transitional adjustments to CET1 Capital (+/-),3.45240062,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620128,ADDITIONAL TIER 1 CAPITAL (net of deductions and after transitional adjustments),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620129,Additional Tier 1 Capital instruments,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620130,(-) Excess deduction from T2 items over T2 capital,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620131,Other Additional Tier 1 Capital components and deductions,3.45240062,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620132,Additional Tier 1 transitional adjustments,-3.45240062,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620133,TIER 1 CAPITAL (net of deductions and after transitional adjustments),3385.7957881,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620134,TIER 2 CAPITAL (net of deductions and after transitional adjustments),469.38997656,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620135,Tier 2 Capital instruments,369.38997656,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620136,Other Tier 2 Capital components and deductions,100,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620137,Tier 2 transitional adjustments,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620138,TOTAL RISK EXPOSURE AMOUNT,20063.599405,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620139,TOTAL RISK EXPOSURE AMOUNT - Of which: Transitional adjustments included,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620140,COMMON EQUITY TIER 1 CAPITAL RATIO (transitional period),0.1687531594,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620141,TIER 1 CAPITAL RATIO (transitional period),0.1687531594,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620142,TOTAL CAPITAL RATIO (transitional period),0.1921482625,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620143,COMMON EQUITY TIER 1 CAPITAL (fully loaded),3385.7957881,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620146,COMMON EQUITY TIER 1 CAPITAL RATIO (fully loaded),0.1687531594,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620201,Risk exposure amount for credit exposures,18770.66069,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620202,Risk exposure amount for credit exposures - of which: for securitisation and re-securitisations in the banking book,54.30499936,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620203,Risk exposure amount for credit exposures - of which: for contributions to the default fund of a CCP,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620204,Risk exposure amount for credit exposures - of which: for Other credit risk,18716.35569,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620205,"Risk exposure amount for position, foreign exchange and commodities (Market risk)",0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620206,Risk exposure amount for Market risk -   of which: Risk exposure amount for securitisation and re-securitisations in the trading book,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620207,Risk exposure amount for Credit Valuation Adjustment,701.31537313,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620208,Risk exposure amount for operational risk,591.62334213,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620209,Other risk exposure amounts,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620210,Total Risk exposure amount,20063.599405,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620301,Interest income,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620302,Interest income - Of which debt securities income,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620303,Interest income - Of which loans and advances income,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620304,Interest expenses,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620305,Interest expenses - (Of which deposits expenses),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620306,Interest expenses - (Of which debt securities issued expenses),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620307,Expenses on share capital repayable on demand,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620308,Dividend income,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620309,Net Fee and commission income,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620310,Gains or (-) losses on derecognition of financial assets and liabilities not measured at fair value through profit or loss_ and of non financial assets_ net,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620311,Gains or (-) losses on financial assets and liabilities held for trading_ net,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620312,Gains or (-) losses on financial assets and liabilities designated at fair value through profit or loss_ net,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620313,Gains or (-) losses from hedge accounting_ net,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620314,Exchange differences [gain or (-) loss]_ net,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620315,Net other operating income /(expenses),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620316,TOTAL OPERATING INCOME_ NET,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620317,(Administrative expenses),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620318,(Depreciation),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620319,(Provisions or (-) reversal of provisions),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620320,(Provisions or (-) reversal of provisions) - (Commitments and guarantees given),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620321,(Provisions or (-) reversal of provisions) - (Other provisions),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620324,(Impairment or (-) reversal of impairment on financial assets not measured at fair value through profit or loss),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620325,(Impairment or (-) reversal of impairment on financial assets not measured at fair value through profit or loss) - (Loans and receivables),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620326,(Impairment or (-) reversal of impairment on financial assets not measured at fair value through profit or loss) - (Held to maturity investments_ AFS assets and financial assets measured at cost),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620327,(Impairment or (-) reversal of impairment of investments in subsidaries_ joint ventures and associates and on non-financial assets),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620328,(Impairment or (-) reversal of impairment of investments in subsidaries_ joint ventures and associates and on non-financial assets) - (of which Goodwill),0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620329,Negative goodwill recognised in profit or loss,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620330,Share of the profit or (-) loss of investments in subsidaries_ joint ventures and associates,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620331,Profit or (-) loss from non-current assets and disposal groups classified as held for sale not qualifying as discontinued operations,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620332,PROFIT OR (-) LOSS BEFORE TAX FROM CONTINUING OPERATIONS,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620333,PROFIT OR (-) LOSS AFTER TAX FROM CONTINUING OPERATIONS,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620334,Profit  or (-) loss after tax from discontinued operations,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620335,PROFIT OR (-) LOSS FOR THE YEAR,0,2
0SK1ILSPWNVBNQWU0W18,DE,201606,1620336,PROFIT OR (-) LOSS FOR THE YEAR - Of which attributable to owners of the parent,0,2
0W2PZJM8XOY22M4GG883,DE,201512,1620101,OWN FUNDS,5318.5811881,4
0W2PZJM8XOY22M4GG883,DE,201512,1620102,COMMON EQUITY TIER 1 CAPITAL (net of deductions and after applying transitional adjustments),4212.7060435,4
0W2PZJM8XOY22M4GG883,DE,201512,1620103,Capital instruments eligible as CET1 Capital (including share premium and net own capital instruments),382.01989758,4
0W2PZJM8XOY22M4GG883,DE,201512,1620104,Retained earnings,3904.695683,4
0W2PZJM8XOY22M4GG883,DE,201512,1620105,Accumulated other comprehensive income,-159.7213594,4
0W2PZJM8XOY22M4GG883,DE,201512,1620106,Other Reserves,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620107,Funds for general banking risk,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620108,Minority interest given recognition in CET1 capital,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620109,Adjustments to CET1 due to prudential filters,76.00323893,4
0W2PZJM8XOY22M4GG883,DE,201512,1620110,(-) Intangible assets (including Goodwill),-200.6295257,4
0W2PZJM8XOY22M4GG883,DE,201512,1620111,(-) DTAs that rely on future profitability and do not arise from temporary differences net of associated DTLs,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620112,(-) IRB shortfall of credit risk adjustments to expected losses,-136.8390318,4
0W2PZJM8XOY22M4GG883,DE,201512,1620113,(-) Defined benefit pension fund assets,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620114,(-) Reciprocal cross holdings in CET1 Capital,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620115,(-) Excess deduction from AT1 items over AT1 Capital,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620116,(-) Deductions related to assets which can alternatively be subject to a 1.250% risk weight,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620117,(-) Deductions related to assets which can alternatively be subject to a 1.250% risk weight - Of which: from securitisation positions (-),0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620118,(-) Holdings of CET1 capital instruments of financial sector entities where the institiution does not have a significant investment,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620119,(-) Deductible DTAs that rely on future profitability and arise from temporary differences,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620120,(-) Holdings of CET1 capital instruments of financial sector entities where the institiution has a significant investment,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620121,(-) Amount exceding the 17.65% threshold,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620122,(-) Additional deductions of CET1 Capital due to Article 3 CRR,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620123,CET1 capital elements or deductions - other,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620124,Transitional adjustments,347.17714088,4
0W2PZJM8XOY22M4GG883,DE,201512,1620125,Transitional adjustments due to grandfathered CET1 Capital instruments (+/-),0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620126,Transitional adjustments due to additional minority interests (+/-),0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620127,Other transitional adjustments to CET1 Capital (+/-),347.17714088,4
0W2PZJM8XOY22M4GG883,DE,201512,1620128,ADDITIONAL TIER 1 CAPITAL (net of deductions and after transitional adjustments),292.06642722,4
0W2PZJM8XOY22M4GG883,DE,201512,1620129,Additional Tier 1 Capital instruments,473.6,4
0W2PZJM8XOY22M4GG883,DE,201512,1620130,(-) Excess deduction from T2 items over T2 capital,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620131,Other Additional Tier 1 Capital components and deductions,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620132,Additional Tier 1 transitional adjustments,-181.5335728,4
0W2PZJM8XOY22M4GG883,DE,201512,1620133,TIER 1 CAPITAL (net of deductions and after transitional adjustments),4504.7724707,4
0W2PZJM8XOY22M4GG883,DE,201512,1620134,TIER 2 CAPITAL (net of deductions and after transitional adjustments),813.8087174,4
0W2PZJM8XOY22M4GG883,DE,201512,1620135,Tier 2 Capital instruments,854.86042695,4
0W2PZJM8XOY22M4GG883,DE,201512,1620136,Other Tier 2 Capital components and deductions,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620137,Tier 2 transitional adjustments,-41.05170955,4
0W2PZJM8XOY22M4GG883,DE,201512,1620138,TOTAL RISK EXPOSURE AMOUNT,31188.095018,4
0W2PZJM8XOY22M4GG883,DE,201512,1620139,TOTAL RISK EXPOSURE AMOUNT - Of which: Transitional adjustments included,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620140,COMMON EQUITY TIER 1 CAPITAL RATIO (transitional period),0.1350741698,4
0W2PZJM8XOY22M4GG883,DE,201512,1620141,TIER 1 CAPITAL RATIO (transitional period),0.1444388466,4
0W2PZJM8XOY22M4GG883,DE,201512,1620142,TOTAL CAPITAL RATIO (transitional period),0.1705324158,4
0W2PZJM8XOY22M4GG883,DE,201512,1620143,COMMON EQUITY TIER 1 CAPITAL (fully loaded),3865.5289026,4
0W2PZJM8XOY22M4GG883,DE,201512,1620146,COMMON EQUITY TIER 1 CAPITAL RATIO (fully loaded),0.1239424498,4
0W2PZJM8XOY22M4GG883,DE,201512,1620201,Risk exposure amount for credit exposures,15391.462186,4
0W2PZJM8XOY22M4GG883,DE,201512,1620202,Risk exposure amount for credit exposures - of which: for securitisation and re-securitisations in the banking book,358.22449883,4
0W2PZJM8XOY22M4GG883,DE,201512,1620203,Risk exposure amount for credit exposures - of which: for contributions to the default fund of a CCP,148.9989254,4
0W2PZJM8XOY22M4GG883,DE,201512,1620204,Risk exposure amount for credit exposures - of which: for Other credit risk,14884.238762,4
0W2PZJM8XOY22M4GG883,DE,201512,1620205,"Risk exposure amount for position, foreign exchange and commodities (Market risk)",11884.478114,4
0W2PZJM8XOY22M4GG883,DE,201512,1620206,Risk exposure amount for Market risk -   of which: Risk exposure amount for securitisation and re-securitisations in the trading book,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620207,Risk exposure amount for Credit Valuation Adjustment,1727.2083185,4
0W2PZJM8XOY22M4GG883,DE,201512,1620208,Risk exposure amount for operational risk,2184.9464,4
0W2PZJM8XOY22M4GG883,DE,201512,1620209,Other risk exposure amounts,0,4
0W2PZJM8XOY22M4GG883,DE,201512,1620210,Total Risk exposure amount,31188.095018,4
0W2PZJM8XOY22M4GG883,DE,201512,1620301,Interest income,975.2726664,4
0W2PZJM8XOY22M4GG883,DE,201512,1620302,Interest income - Of which debt securities income,185.11658708,4
0W2PZJM8XOY22M4GG883,DE,201512,1620303,Interest income - Of which loans and advances income,512.1841339,4
0W2PZJM8XOY22M4GG883,DE,201512,1620304,Interest expenses,849.70731424,4
0W2PZJM8XOY22M4GG883,DE,201512,1620305,Interest expenses - (Of which deposits expenses),384.15703207,4
